시리즈,연월,중앙값_만원_m2
서울,2019-10,916.9618089393496
서울,2019-11,925.084514973116
서울,2019-12,876.8832391713748
서울,2020-01,809.0039248898873
서울,2020-02,823.2445520581115
서울,2020-03,800.376647834275
서울,2020-04,808.3073359803366
서울,2020-05,905.0728228188229
서울,2020-06,978.664281669915
서울,2020-07,1003.8144950813089
서울,2020-08,1072.4825480705413
서울,2020-09,1074.3662917575962
서울,2020-10,1052.0260253985443
서울,2020-11,1124.2973141786383
서울,2020-12,1172.1159777914868
서울,2021-01,1179.2710363554702
서울,2021-02,1156.9430239774824
서울,2021-03,1134.8464619492659
서울,2021-04,1187.3341049303965
서울,2021-05,1187.5372376338291
서울,2021-06,1179.3843613633683
서울,2021-07,1232.0914170391052
서울,2021-08,1281.9097440272735
서울,2021-09,1335.5838219421953
서울,2021-10,1294.5745736561921
서울,2021-11,1226.890756302521
서울,2021-12,1238.3535794315367
서울,2022-01,1117.1497584541064
서울,2022-02,1166.3524976437325
서울,2022-03,1224.5378547038738
서울,2022-04,1259.1939197898323
서울,2022-05,1167.0556852284096
서울,2022-06,1294.275642101729
서울,2022-07,1142.5648021828104
서울,2022-08,1155.314446453687
서울,2022-09,1010.202834799609
서울,2022-10,1055.4420842633567
서울,2022-11,1157.8893037179776
서울,2022-12,1121.7143813828898
서울,2023-01,1169.7860962566845
서울,2023-02,1210.184543517877
서울,2023-03,1234.7119858459746
서울,2023-04,1194.743130227001
서울,2023-05,1249.5393286272356
서울,2023-06,1259.9049128367672
서울,2023-07,1258.3552691057125
서울,2023-08,1249.1264849755416
서울,2023-09,1236.8026706279538
서울,2023-10,1137.6050024484875
서울,2023-11,1136.1811464538725
서울,2023-12,1177.4402449075708
서울,2024-01,1192.8595261928597
서울,2024-02,1201.8381053375751
서울,2024-03,1238.729118476252
서울,2024-04,1283.8069154399177
서울,2024-05,1334.7507677769904
서울,2024-06,1409.2846991946944
서울,2024-07,1362.7207015049175
서울,2024-08,1294.7269303201508
서울,2024-09,1241.9771695860613
서울,2024-10,1254.616439667859
서울,2024-11,1333.3333333333333
서울,2024-12,1309.1833167903483
서울,2025-01,1392.1939454526273
서울,2025-02,1563.8449823768167
서울,2025-03,1544.5402298850574
서울,2025-04,1309.935739001483
서울,2025-05,1363.1331303625795
서울,2025-06,1441.1101885897283
서울,2025-07,1309.2432573972244
서울,2025-08,1262.0901155933002
서울,2025-09,1434.5619068638268
서울,2025-10,1400.4668222740913
서울,2025-11,1322.1539851902448
서울,2025-12,1248.2049754554503
울산,2006-01,114.40769833725255
울산,2006-02,111.58342189160467
울산,2006-03,114.34633973830013
울산,2006-04,117.25412166003412
울산,2006-05,123.82864792503347
울산,2006-06,118.17810855784778
울산,2006-07,112.67748639790467
울산,2006-08,126.49130372286906
울산,2006-09,118.09837396370301
울산,2006-10,125.43486966342266
울산,2006-11,140.13188883655204
울산,2006-12,141.56251673851722
울산,2007-01,142.45014245014247
울산,2007-02,135.35781544256122
울산,2007-03,138.85426550978875
울산,2007-04,138.57801612014106
울산,2007-05,134.5246461198675
울산,2007-06,143.7283477035018
울산,2007-07,146.61903314235212
울산,2007-08,137.03208556149733
울산,2007-09,143.8608230177317
울산,2007-10,133.74610049187896
울산,2007-11,112.41273222103892
울산,2007-12,150.64034810536862
울산,2008-01,148.4050854348866
울산,2008-02,148.62422173127135
울산,2008-03,154.26208651399492
울산,2008-04,156.5719250939797
울산,2008-05,157.12318626986493
울산,2008-06,156.64518338745688
울산,2008-07,146.72591598893268
울산,2008-08,144.60735087366942
울산,2008-09,147.75135389686838
울산,2008-10,153.38364316829254
울산,2008-11,154.269530172609
울산,2008-12,158.18278114517742
울산,2009-01,158.39901097202906
울산,2009-02,172.5575191730577
울산,2009-03,158.00500290323527
울산,2009-04,173.7177972110612
울산,2009-05,177.1887431196652
울산,2009-06,169.66519957809362
울산,2009-07,174.30877150004474
울산,2009-08,182.4843737644934
울산,2009-09,172.2815505339548
울산,2009-10,164.00164001640016
울산,2009-11,173.42582710779084
울산,2009-12,171.90903419953003
울산,2010-01,175.62556710665584
울산,2010-02,180.0600200066689
울산,2010-03,175.2786007427382
울산,2010-04,167.16196136701336
울산,2010-05,176.7255751917306
울산,2010-06,217.40948391835192
울산,2010-07,174.18322346294033
울산,2010-08,202.50112831493374
울산,2010-09,191.78726909048123
울산,2010-10,189.38761888870349
울산,2010-11,199.0358610469954
울산,2010-12,205.1008412469464
울산,2011-01,199.76452756313495
울산,2011-02,192.73812484456602
울산,2011-03,181.10765873081985
울산,2011-04,191.76095394539516
울산,2011-05,203.13235986811117
울산,2011-06,217.46403479424555
울산,2011-07,213.47952324057084
울산,2011-08,215.42586766148474
울산,2011-09,231.24078528749902
울산,2011-10,226.7178358270451
울산,2011-11,223.6346516007533
울산,2011-12,233.33333333333334
울산,2012-01,242.0436991871521
울산,2012-02,247.53303227964543
울산,2012-03,243.08218773968966
울산,2012-04,248.17664059617664
울산,2012-05,247.15237481194927
울산,2012-06,247.65729585006693
울산,2012-07,250.08336112037347
울산,2012-08,248.16978193146417
울산,2012-09,265.0662665666417
울산,2012-10,263.4211403801267
울산,2012-11,253.45004304319292
울산,2012-12,251.29673603852007
울산,2013-01,254.20254202542026
울산,2013-02,253.54208921496456
울산,2013-03,256.29088171911985
울산,2013-04,265.2188244743931
울산,2013-05,255.67502986857824
울산,2013-06,250.29200734189888
울산,2013-07,247.1050467087373
울산,2013-08,254.2766391519337
울산,2013-09,260.94276094276097
울산,2013-10,256.0772450202469
울산,2013-11,252.71059216013344
울산,2013-12,259.21204252020084
울산,2014-01,257.8981302385558
울산,2014-02,256.7703109327984
울산,2014-03,261.11665924687065
울산,2014-04,269.59143418149796
울산,2014-05,270.59886556629436
울산,2014-06,260.1548387096774
울산,2014-07,256.71287128712873
울산,2014-08,260.8362134367361
울산,2014-09,268.3566767639674
울산,2014-10,270.5061082024433
울산,2014-11,265.63440860215053
울산,2014-12,272.7576974564926
울산,2015-01,271.5786987837997
울산,2015-02,275.5165936130244
울산,2015-03,274.8095313680835
울산,2015-04,272.1138612123631
울산,2015-05,273.106486231637
울산,2015-06,275.4000901864954
울산,2015-07,280.4878048780488
울산,2015-08,271.9801336250222
울산,2015-09,283.56018147851614
울산,2015-10,287.3316963385173
울산,2015-11,288.6855004480828
울산,2015-12,292.1048239025205
울산,2016-01,290.1353965183752
울산,2016-02,286.90713691789665
울산,2016-03,286.03268945022285
울산,2016-04,292.45514868518063
울산,2016-05,272.2450205184666
울산,2016-06,304.20014876711184
울산,2016-07,294.9555890732361
울산,2016-08,300.3003003003003
울산,2016-09,309.2669419817635
울산,2016-10,314.9781555234482
울산,2016-11,316.1955353190413
울산,2016-12,279.45124823363165
울산,2017-01,303.636970303637
울산,2017-02,306.0874315585808
울산,2017-03,303.3513288728777
울산,2017-04,293.1510641853838
울산,2017-05,291.7639213071024
울산,2017-06,298.8277393657917
울산,2017-07,297.14583604848167
울산,2017-08,311.6689533682267
울산,2017-09,300.3003003003003
울산,2017-10,308.9909563951727
울산,2017-11,295.7266330134204
